,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
784,2015-08-01,5904.754319734844,4203.305430939409,6298.245386299104,5904.754319734844,5904.754319734844,-673.7349827888664,-673.7349827888664,-673.7349827888664,-719.174286025024,-719.174286025024,-719.174286025024,45.439303236157684,45.439303236157684,45.439303236157684,0.0,0.0,0.0,5231.019336945978
785,2015-08-02,5905.498640810681,4657.512092629011,6880.123378834401,5905.498640810681,5905.498640810681,-172.38568701330075,-172.38568701330075,-172.38568701330075,-197.42391577804264,-197.42391577804264,-197.42391577804264,25.03822876474189,25.03822876474189,25.03822876474189,0.0,0.0,0.0,5733.11295379738
786,2015-08-03,5906.242961886517,5917.297146908757,8029.363192106756,5906.242961886517,5906.242961886517,1015.9174861308155,1015.9174861308155,1015.9174861308155,1013.0406335698964,1013.0406335698964,1013.0406335698964,2.876852560919101,2.876852560919101,2.876852560919101,0.0,0.0,0.0,6922.160448017333
787,2015-08-04,5906.987282962354,5041.307700381402,7136.181246393336,5906.987282962354,5906.987282962354,202.9899159323991,202.9899159323991,202.9899159323991,223.673780740026,223.673780740026,223.673780740026,-20.683864807626865,-20.683864807626865,-20.683864807626865,0.0,0.0,0.0,6109.977198894753
788,2015-08-05,5907.731604038191,4630.9485040235395,6693.81916959406,5907.731604038191,5907.731604038191,-248.33222352265886,-248.33222352265886,-248.33222352265886,-203.0460670169387,-203.0460670169387,-203.0460670169387,-45.28615650572016,-45.28615650572016,-45.28615650572016,0.0,0.0,0.0,5659.399380515532
789,2015-08-06,5908.4759251140285,4619.052059622963,6739.920772817936,5908.4759251140285,5908.4759251140285,-253.5972205089019,-253.5972205089019,-253.5972205089019,-183.0129705483533,-183.0129705483533,-183.0129705483533,-70.58424996054858,-70.58424996054858,-70.58424996054858,0.0,0.0,0.0,5654.878704605127
790,2015-08-07,5909.220246189865,4824.770115102993,6983.762327164939,5909.220246178764,5909.220246189865,-30.309419967221295,-30.309419967221295,-30.309419967221295,65.9428250599196,65.9428250599196,65.9428250599196,-96.25224502714089,-96.25224502714089,-96.25224502714089,0.0,0.0,0.0,5878.910826222644
791,2015-08-08,5909.964567265702,4039.375408700616,6092.785504587693,5909.964558437362,5909.964567265702,-841.1651478833066,-841.1651478833066,-841.1651478833066,-719.1742860249269,-719.1742860249269,-719.1742860249269,-121.99086185837977,-121.99086185837977,-121.99086185837977,0.0,0.0,0.0,5068.799419382395
792,2015-08-09,5910.708888341539,4491.512274513843,6580.835794319099,5910.708870015883,5910.708888341539,-344.9568065194107,-344.9568065194107,-344.9568065194107,-197.42391577743027,-197.42391577743027,-197.42391577743027,-147.53289074198042,-147.53289074198042,-147.53289074198042,0.0,0.0,0.0,5565.752081822128
793,2015-08-10,5911.4532094173765,5742.65759996085,7813.829426229759,5911.453179665174,5911.453212669828,840.3934126523706,840.3934126523706,840.3934126523706,1013.0406335696235,1013.0406335696235,1013.0406335696235,-172.64722091725298,-172.64722091725298,-172.64722091725298,0.0,0.0,0.0,6751.846622069747
794,2015-08-11,5912.197530493213,4785.842369039345,6903.533483046596,5912.197478276645,5912.197540727255,26.53240746223438,26.53240746223438,26.53240746223438,223.67378074178225,223.67378074178225,223.67378074178225,-197.14137327954788,-197.14137327954788,-197.14137327954788,0.0,0.0,0.0,5938.729937955447
795,2015-08-12,5912.94185156905,4432.721184882326,6515.536005346823,5912.941785486748,5912.94187036786,-423.90857847440526,-423.90857847440526,-423.90857847440526,-203.04606701719752,-203.04606701719752,-203.04606701719752,-220.8625114572078,-220.8625114572078,-220.8625114572078,0.0,0.0,0.0,5489.033273094645
796,2015-08-13,5913.686172644887,4387.484192323021,6562.751707821864,5913.686098496529,5913.686200934081,-426.7099260222622,-426.7099260222622,-426.7099260222622,-183.01297054953957,-183.01297054953957,-183.01297054953957,-243.69695547272264,-243.69695547272264,-243.69695547272264,0.0,0.0,0.0,5486.976246622625
797,2015-08-14,5914.4304937207235,4721.417953285858,6755.387476274306,5914.430398105869,5914.430528545861,-199.62544550319726,-199.62544550319726,-199.62544550319726,65.9428250581159,65.9428250581159,65.9428250581159,-265.5682705613131,-265.5682705613131,-265.5682705613131,0.0,0.0,0.0,5714.805048217526
798,2015-08-15,5915.174814796562,3858.955248933975,5933.155726075294,5915.174698587,5915.174857924962,-1005.6083352659327,-1005.6083352659327,-1005.6083352659327,-719.1742860248299,-719.1742860248299,-719.1742860248299,-286.43404924110274,-286.43404924110274,-286.43404924110274,0.0,0.0,0.0,4909.566479530629
799,2015-08-16,5915.919135872398,4399.752524829724,6485.81396001616,5915.919002972156,5915.919190404265,-503.70546181394104,-503.70546181394104,-503.70546181394104,-197.42391577929743,-197.42391577929743,-197.42391577929743,-306.2815460346436,-306.2815460346436,-306.2815460346436,0.0,0.0,0.0,5412.213674058457
800,2015-08-17,5916.663456948235,5606.063213072491,7628.750254791602,5916.663308838977,5916.663528015451,687.9182734932546,687.9182734932546,687.9182734932546,1013.0406335701236,1013.0406335701236,1013.0406335701236,-325.1223600768691,-325.1223600768691,-325.1223600768691,0.0,0.0,0.0,6604.5817304414895
